composite_rank,ligand,composite_score,best_score,mean_score,score_std,seed_count,consistent,initial_refinement_rank,best_seed,best_run_json,best_output_pdbqt
1,000049_active_0065_active_00065,17.498,-12.320,-12.290,0.022,3,True,1,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000049_active_0065_active_00065/seed-3/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000049_active_0065_active_00065/seed-3/000049_active_0065_active_00065_docked.pdbqt
2,000107_active_0125_active_00125,16.612,-11.970,-11.970,0.000,3,True,2,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000107_active_0125_active_00125/seed-3/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000107_active_0125_active_00125/seed-3/000107_active_0125_active_00125_docked.pdbqt
3,000385_active_0457_active_00457,16.017,-11.660,-11.640,0.022,3,True,3,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000385_active_0457_active_00457/seed-2/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000385_active_0457_active_00457/seed-2/000385_active_0457_active_00457_docked.pdbqt
4,000364_active_0435_active_00435,15.908,-11.630,-11.613,0.012,3,True,4,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000364_active_0435_active_00435/seed-3/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000364_active_0435_active_00435/seed-3/000364_active_0435_active_00435_docked.pdbqt
5,000462_active_0539_active_00539,15.791,-11.580,-11.563,0.017,3,True,5,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000462_active_0539_active_00539/seed-3/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000462_active_0539_active_00539/seed-3/000462_active_0539_active_00539_docked.pdbqt
6,018878_decoy_20357_decoy_20357,15.559,-11.420,-11.407,0.019,3,True,6,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/018878_decoy_20357_decoy_20357/seed-2/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/018878_decoy_20357_decoy_20357/seed-2/018878_decoy_20357_decoy_20357_docked.pdbqt
7,000155_active_0187_active_00187,15.478,-11.390,-11.370,0.014,3,True,8,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000155_active_0187_active_00187/seed-2/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000155_active_0187_active_00187/seed-2/000155_active_0187_active_00187_docked.pdbqt
8,000533_active_0615_active_00615,15.347,-11.310,-11.280,0.022,3,True,9,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000533_active_0615_active_00615/seed-1/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000533_active_0615_active_00615/seed-1/000533_active_0615_active_00615_docked.pdbqt
9,001721_decoy_1151_decoy_01151,15.282,-11.240,-11.230,0.008,3,True,10,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/001721_decoy_1151_decoy_01151/seed-3/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/001721_decoy_1151_decoy_01151/seed-3/001721_decoy_1151_decoy_01151_docked.pdbqt
10,000565_active_0656_active_00656,15.249,-11.230,-11.213,0.012,3,True,11,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000565_active_0656_active_00656/seed-2/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000565_active_0656_active_00656/seed-2/000565_active_0656_active_00656_docked.pdbqt
