ligand,best_score,receptor_pdbqt,ligand_pdbqt,output_pdbqt,binding_site_method,binding_site_residues,center_x,center_y,center_z,size_x,size_y,size_z,exhaustiveness,num_modes,cpu,seed,run_json
000049_active_0065_active_00065,-12.320,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/000049_active_0065_active_00065.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000049_active_0065_active_00065/seed-3/000049_active_0065_active_00065_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000049_active_0065_active_00065/seed-3/vina_run.json
000049_active_0065_active_00065,-12.280,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/000049_active_0065_active_00065.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000049_active_0065_active_00065/seed-2/000049_active_0065_active_00065_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000049_active_0065_active_00065/seed-2/vina_run.json
000049_active_0065_active_00065,-12.270,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/000049_active_0065_active_00065.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000049_active_0065_active_00065/seed-1/000049_active_0065_active_00065_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000049_active_0065_active_00065/seed-1/vina_run.json
000107_active_0125_active_00125,-11.970,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/000107_active_0125_active_00125.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000107_active_0125_active_00125/seed-3/000107_active_0125_active_00125_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000107_active_0125_active_00125/seed-3/vina_run.json
000107_active_0125_active_00125,-11.970,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/000107_active_0125_active_00125.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000107_active_0125_active_00125/seed-2/000107_active_0125_active_00125_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000107_active_0125_active_00125/seed-2/vina_run.json
000107_active_0125_active_00125,-11.970,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/000107_active_0125_active_00125.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000107_active_0125_active_00125/seed-1/000107_active_0125_active_00125_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000107_active_0125_active_00125/seed-1/vina_run.json
000385_active_0457_active_00457,-11.660,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/000385_active_0457_active_00457.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000385_active_0457_active_00457/seed-2/000385_active_0457_active_00457_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000385_active_0457_active_00457/seed-2/vina_run.json
000385_active_0457_active_00457,-11.650,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/000385_active_0457_active_00457.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000385_active_0457_active_00457/seed-3/000385_active_0457_active_00457_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000385_active_0457_active_00457/seed-3/vina_run.json
000364_active_0435_active_00435,-11.630,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/000364_active_0435_active_00435.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000364_active_0435_active_00435/seed-3/000364_active_0435_active_00435_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000364_active_0435_active_00435/seed-3/vina_run.json
000364_active_0435_active_00435,-11.610,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/000364_active_0435_active_00435.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000364_active_0435_active_00435/seed-1/000364_active_0435_active_00435_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000364_active_0435_active_00435/seed-1/vina_run.json
000385_active_0457_active_00457,-11.610,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/000385_active_0457_active_00457.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000385_active_0457_active_00457/seed-1/000385_active_0457_active_00457_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000385_active_0457_active_00457/seed-1/vina_run.json
000364_active_0435_active_00435,-11.600,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/000364_active_0435_active_00435.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000364_active_0435_active_00435/seed-2/000364_active_0435_active_00435_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000364_active_0435_active_00435/seed-2/vina_run.json
000462_active_0539_active_00539,-11.580,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/000462_active_0539_active_00539.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000462_active_0539_active_00539/seed-3/000462_active_0539_active_00539_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000462_active_0539_active_00539/seed-3/vina_run.json
000462_active_0539_active_00539,-11.570,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/000462_active_0539_active_00539.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000462_active_0539_active_00539/seed-1/000462_active_0539_active_00539_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000462_active_0539_active_00539/seed-1/vina_run.json
